100 384
89 9 8
1 27 1
24 8 6
45 96 4
97 94 4
11 21 7
100 90 4
41 38 5
4 95 9
13 58 2
28 79 7
67 22 5
46 23 6
97 44 2
36 60 3
94 13 9
82 71 4
30 60 8
71 26 10
20 56 5
3 7 1
34 82 2
27 55 2
31 21 3
80 64 8
66 53 1
94 78 3
83 33 9
58 15 3
60 96 1
51 25 1
44 51 10
42 43 5
11 66 9
86 90 5
88 30 2
1 6 3
56 70 1
44 14 2
20 36 9
93 58 4
77 69 1
81 89 9
91 14 9
100 24 8
72 30 10
30 21 6
47 17 4
77 99 1
49 17 6
4 84 3
24 64 7
100 84 3
37 94 5
89 96 2
3 6 9
91 82 4
11 93 3
81 13 5
15 58 1
55 30 6
77 30 9
81 58 3
89 57 6
89 100 4
29 50 4
43 53 7
96 18 4
19 37 4
10 26 9
13 56 2
93 11 3
55 98 5
18 7 3
82 2 6
30 33 7
58 74 5
77 6 10
10 11 2
51 62 3
40 83 1
63 23 5
40 64 6
72 89 9
34 23 8
21 41 8
100 65 7
48 96 8
31 47 4
26 54 8
28 23 4
56 45 10
80 92 9
90 71 7
87 37 3
19 28 8
27 76 9
87 59 9
30 21 9
73 18 5
35 63 1
94 50 1
75 79 4
15 88 9
63 49 3
99 47 3
27 44 6
73 41 2
27 2 9
68 82 8
85 3 3
72 63 5
74 52 7
1 42 3
48 100 5
93 18 1
7 2 4
9 2 6
17 27 5
70 17 7
64 46 5
6 10 1
98 10 9
34 94 8
38 66 3
65 76 10
97 3 10
82 88 8
43 18 2
17 7 4
88 53 8
27 13 9
10 34 2
42 78 3
90 17 3
40 48 6
18 25 10
13 97 10
81 83 8
92 48 1
57 17 4
75 98 3
49 23 1
78 41 5
13 81 7
21 12 1
25 90 5
37 81 5
73 9 8
10 14 10
70 78 7
73 29 4
45 83 3
36 23 3
13 16 8
98 79 4
64 79 10
22 54 6
77 78 1
12 60 2
5 36 7
71 8 10
93 59 5
92 2 1
59 40 2
78 2 8
12 22 2
52 5 7
7 43 8
50 37 2
34 37 2
67 44 9
65 33 6
57 100 10
3 11 6
3 23 8
26 21 3
86 72 5
51 76 2
29 28 3
9 92 5
22 88 8
84 41 7
80 88 9
68 16 2
58 11 4
87 23 2
27 85 1
33 18 7
16 52 10
40 47 8
68 72 10
36 91 2
60 70 1
52 11 9
31 48 5
9 1 8
50 22 8
75 10 10
40 61 9
16 49 4
71 64 8
53 56 2
91 99 3
32 89 10
97 26 6
46 84 10
62 36 5
3 30 1
60 69 9
92 31 5
34 82 9
36 76 8
10 9 10
82 3 7
33 64 1
19 71 10
82 68 5
79 20 1
55 72 6
10 1 2
81 6 5
25 17 9
94 22 7
55 76 9
63 71 1
61 21 7
59 49 4
40 23 9
83 2 5
6 27 1
40 88 3
18 46 3
66 97 5
9 35 4
59 4 10
96 84 2
49 60 2
24 64 5
36 26 6
38 15 8
64 48 2
41 25 8
62 16 3
3 36 2
96 30 8
25 20 10
39 90 10
50 100 2
95 12 9
62 23 2
11 35 5
38 98 1
77 41 7
64 17 1
26 81 1
14 28 7
97 89 6
34 43 7
44 54 3
78 16 7
60 8 1
65 1 6
91 7 3
64 47 1
89 12 1
70 91 5
14 66 2
43 54 5
73 57 9
82 78 8
59 30 3
59 7 1
88 70 7
70 95 2
75 80 3
63 24 4
43 72 4
87 52 8
46 71 6
96 83 10
34 46 3
81 73 7
99 9 6
53 96 9
18 91 4
85 71 6
38 28 3
91 52 5
34 23 1
83 55 6
6 67 8
78 87 3
2 47 10
5 72 2
59 52 3
29 64 3
30 62 4
44 12 5
53 84 3
36 43 3
84 30 2
88 66 9
77 29 9
4 30 1
100 72 7
21 40 4
47 1 10
41 9 8
77 41 1
35 63 3
2 67 2
50 54 1
28 45 7
52 32 1
37 74 10
52 32 10
12 7 8
65 42 10
89 33 9
59 56 4
31 42 7
21 48 3
22 77 6
72 97 5
45 90 9
18 14 3
91 43 4
19 24 3
17 80 4
67 19 6
48 79 5
8 73 7
38 62 8
68 48 3
14 76 5
13 28 3
27 78 1
57 36 6
72 2 10
56 91 1
35 17 8
64 72 1
2 96 10
45 49 3
13 21 9
71 96 4
39 74 9
40 47 7
28 95 7
74 55 9
84 14 2
15 90 6
17 79 8
72 28 8
89 21 2
20 23 5
42 48 5
13 25 6
20 18 2
96 70 5
3 45 2
23 17 6
42 13 6
93 71 8
36 31 4
10 82 7
47 61 9
88 27 2
73 74 8
5 16 8
1 19 10
11 33 4
99 75 6
22 76 8
64 82 8
92 66 1
18 4 9
93 28 5
96 100 1
23 48 7
14 52 10
96 61 9
64 52 3
