100 400
62 48 5
93 54 8
97 38 5
40 36 9
43 2 4
23 54 4
65 77 10
42 9 3
67 33 5
90 31 9
27 92 10
14 79 4
99 14 9
21 53 7
55 73 5
56 35 3
83 15 1
54 50 9
16 72 3
65 96 9
32 48 7
79 35 10
60 1 2
36 53 8
24 76 10
51 44 5
85 83 7
32 54 4
23 92 3
60 39 6
91 79 3
27 35 1
81 40 5
56 36 8
100 39 1
75 43 8
80 98 5
96 54 5
29 32 6
60 23 3
3 2 3
61 58 3
14 40 3
19 33 8
96 27 5
40 87 4
17 13 10
64 93 8
44 21 9
6 71 9
23 50 1
85 79 4
17 70 1
50 13 5
50 97 7
59 26 9
62 92 5
75 20 10
28 17 8
60 11 5
53 41 1
98 73 1
70 84 5
35 72 3
3 25 8
65 20 9
85 67 7
64 63 2
88 32 1
75 50 1
36 10 5
74 30 7
40 27 8
39 90 3
96 34 7
58 67 7
11 63 7
46 37 6
13 11 4
20 81 6
48 23 10
60 91 1
87 34 3
8 52 6
28 13 10
38 22 3
23 76 3
37 60 3
28 30 7
39 63 7
26 11 10
66 17 9
31 35 2
99 97 9
41 22 4
69 39 2
79 68 10
10 49 5
1 93 10
45 15 9
24 56 6
95 91 10
53 66 6
65 80 8
13 45 1
51 39 4
69 16 4
13 14 4
11 8 2
52 74 10
95 76 8
33 84 9
78 11 5
21 9 9
47 77 7
41 93 9
29 40 6
53 88 7
79 94 7
9 83 3
57 33 3
20 1 4
7 74 10
14 12 9
28 57 10
56 48 10
28 7 9
94 60 8
13 71 8
28 19 10
34 95 9
64 92 4
44 58 1
74 36 8
39 74 7
24 28 1
50 87 4
79 44 1
86 85 4
32 26 10
49 80 5
9 55 3
23 3 8
5 78 9
27 59 8
61 3 10
99 12 3
36 100 3
81 99 6
20 39 2
80 50 1
23 93 4
90 17 7
84 26 10
57 55 8
34 37 7
62 51 9
96 1 2
19 46 5
48 49 6
72 24 4
34 44 6
83 45 5
63 45 4
85 9 3
96 70 3
45 59 4
46 78 4
76 75 8
22 5 5
22 80 8
39 99 8
39 12 3
46 28 3
37 82 1
12 90 2
65 21 5
36 12 6
92 10 1
48 71 7
80 68 4
60 77 5
86 80 9
94 48 6
54 68 6
63 45 8
3 87 10
85 23 9
27 73 8
79 74 5
41 100 5
90 43 9
94 82 3
6 26 10
60 35 3
44 90 4
66 82 3
53 56 2
50 75 10
90 99 7
1 45 6
79 62 8
7 62 2
66 33 3
79 66 5
68 84 6
43 77 9
79 16 4
27 16 8
34 63 4
15 36 4
23 69 9
95 70 10
51 37 9
20 75 3
48 25 2
48 2 9
37 23 7
97 10 2
63 40 4
17 93 5
58 87 6
47 71 5
45 16 5
98 40 7
31 52 10
21 94 9
45 58 10
17 5 4
90 99 6
18 37 7
98 54 8
58 63 8
83 79 1
22 75 4
92 31 4
55 68 8
35 46 7
90 34 7
99 44 6
4 53 4
3 41 5
79 50 1
1 22 8
92 4 4
91 64 3
30 98 9
60 27 2
65 8 5
25 80 10
52 49 7
57 11 6
95 81 6
21 53 8
100 66 7
25 92 2
46 84 4
85 6 3
24 19 2
44 55 9
13 49 2
54 72 6
56 19 10
46 12 2
88 67 7
76 73 9
72 76 2
10 99 1
74 90 6
16 9 5
50 93 7
90 80 10
15 92 5
71 98 4
7 87 2
9 53 2
60 61 3
52 86 1
58 82 7
63 24 4
41 44 3
98 31 10
80 17 4
27 94 1
86 62 6
46 8 4
22 33 1
68 64 8
51 31 8
42 72 5
5 98 9
87 21 7
71 13 3
41 21 5
70 67 2
100 15 8
58 93 7
50 43 5
76 79 5
49 5 1
53 92 7
33 39 9
16 12 5
46 83 2
6 54 10
22 44 5
85 90 5
89 76 2
44 100 10
27 60 8
88 28 9
4 44 2
33 65 2
85 44 1
80 32 1
81 72 5
81 61 5
84 91 7
44 12 9
33 39 4
38 20 7
62 71 4
12 79 5
91 17 10
11 87 4
29 79 9
88 17 4
64 31 10
26 72 8
25 91 9
30 92 7
69 28 3
40 17 7
64 35 7
31 50 6
61 11 7
56 82 5
71 20 6
85 29 3
75 48 9
97 12 8
55 13 2
29 40 3
30 50 6
23 60 5
79 10 10
38 95 9
49 27 10
61 52 3
31 19 4
98 10 6
13 5 5
78 33 3
94 19 9
80 11 3
19 24 2
21 99 7
50 14 7
34 67 10
7 47 3
22 54 8
58 12 7
50 38 1
45 97 6
60 96 7
63 53 10
24 35 5
2 80 1
60 44 5
78 44 7
1 87 6
1 37 5
32 25 1
2 92 2
60 5 10
39 76 8
19 76 7
47 15 6
73 96 9
45 93 4
78 6 7
20 68 8
62 17 4
35 5 10
36 57 7
67 33 1
45 55 4
67 78 9
10 85 8
15 6 6
73 59 1
39 42 5
36 27 2
7 39 8
76 96 10
87 62 5
35 39 7
56 24 8
20 22 9
71 37 6
