100 370
2 11 8
68 42 7
89 2 5
78 40 9
13 61 7
77 28 10
99 64 10
17 47 4
83 37 2
74 8 8
57 81 2
98 2 10
8 61 8
21 84 3
27 43 1
100 97 2
88 64 5
2 8 7
2 94 10
82 64 1
85 7 3
84 1 7
19 38 6
78 29 4
43 66 1
73 47 8
4 45 3
98 32 10
31 74 5
77 39 5
78 62 10
72 4 3
61 86 8
5 27 3
17 47 8
29 31 6
2 18 1
11 59 6
54 8 7
19 57 6
58 56 3
80 13 10
23 54 3
89 93 6
84 1 2
5 99 9
69 63 6
40 62 2
68 23 1
50 21 4
35 60 6
56 58 4
23 92 7
35 76 5
8 87 1
5 65 2
62 8 2
88 67 5
44 36 2
81 77 3
84 93 9
90 46 1
51 66 10
23 19 9
22 71 4
4 56 7
25 92 4
53 6 6
33 6 2
67 42 7
96 19 10
51 96 1
41 18 7
43 54 3
7 26 8
11 43 2
34 39 3
77 41 9
54 3 3
52 70 9
87 41 6
57 11 3
21 86 2
50 66 1
28 32 5
94 4 7
93 23 5
82 93 8
42 11 6
89 98 6
50 36 5
46 25 9
87 63 2
74 97 6
22 45 9
76 15 1
32 46 7
67 50 1
64 46 6
75 22 5
99 51 5
1 65 9
25 7 4
63 38 3
16 31 3
65 23 4
75 22 9
80 13 3
86 39 10
16 88 2
13 71 4
56 52 3
87 96 7
88 61 8
60 79 3
6 81 7
70 51 9
9 94 9
21 47 4
1 92 8
77 45 5
95 33 5
50 38 9
3 8 7
30 43 5
81 54 4
79 59 9
56 44 3
44 30 10
76 67 5
50 31 5
33 80 6
57 97 1
3 69 4
72 51 3
71 88 3
35 47 6
99 30 7
41 47 9
21 88 9
6 54 2
98 41 10
49 100 1
53 19 5
90 32 9
47 92 4
86 88 5
57 39 4
44 80 6
56 60 6
19 54 5
72 89 7
72 47 1
77 33 3
26 37 2
73 2 5
81 86 8
48 7 9
59 100 8
15 22 8
66 46 2
20 7 9
8 46 9
60 25 8
22 55 6
70 5 9
5 12 9
98 17 6
95 56 1
32 17 9
38 4 4
32 29 1
96 66 10
34 52 5
10 93 10
97 34 10
94 63 4
56 41 1
47 53 8
22 27 1
6 80 4
33 53 10
97 95 7
46 16 6
7 50 6
76 85 8
3 53 8
5 93 2
17 82 1
44 64 2
81 7 7
18 58 10
7 24 7
28 79 5
92 13 1
91 84 9
50 21 3
62 43 9
87 11 5
35 42 6
69 75 6
86 7 10
52 7 7
97 17 10
53 6 10
48 6 2
82 87 10
69 72 9
12 40 9
38 87 10
26 51 6
82 26 8
80 18 2
44 79 8
89 70 7
79 53 7
6 91 3
7 8 8
20 10 4
11 28 7
16 53 1
50 3 3
48 36 7
28 25 6
56 20 7
54 53 3
95 55 8
24 4 5
45 58 1
51 2 10
96 99 10
41 56 1
60 24 1
74 80 2
78 46 3
91 60 1
12 13 9
29 84 10
20 86 3
59 96 4
57 99 7
77 27 1
24 87 7
39 52 6
99 75 2
24 46 2
29 61 7
36 79 8
35 41 4
40 4 8
95 92 6
57 87 1
23 20 8
13 99 3
29 53 8
63 81 4
35 37 6
56 69 2
85 26 8
91 22 5
27 49 8
78 42 5
85 10 5
87 10 7
1 39 10
91 6 2
2 18 2
33 17 4
32 24 9
7 15 9
1 24 7
88 29 2
91 25 1
50 85 7
9 22 1
74 63 1
7 76 6
64 89 2
93 76 9
40 91 7
30 35 9
67 91 9
10 83 10
52 55 8
5 60 10
40 14 7
63 5 4
24 59 6
49 35 6
73 63 10
10 34 1
57 10 4
42 7 6
86 13 5
14 96 6
19 36 5
91 74 1
21 37 8
82 78 7
82 5 4
58 48 4
29 60 10
30 28 10
78 64 5
41 13 5
66 42 8
10 95 6
73 71 9
42 57 2
80 51 5
24 40 5
4 93 7
83 65 4
82 55 9
48 30 9
89 18 10
75 60 6
37 74 5
85 35 5
47 24 2
4 48 3
5 25 5
22 96 6
48 68 4
14 1 2
37 16 9
28 49 8
87 39 4
16 4 9
57 17 2
17 56 6
55 39 9
86 81 9
100 42 1
70 86 9
28 95 7
85 74 10
83 50 6
69 72 4
15 72 7
31 64 3
58 66 1
49 39 2
59 28 8
65 37 6
37 73 3
13 93 1
3 30 9
7 32 5
44 34 9
43 3 6
54 96 5
10 52 7
34 10 6
93 59 7
89 90 2
33 18 5
57 13 3
79 32 10
9 29 1
14 72 2
49 7 4
67 21 9
65 75 5
66 98 10
92 32 3
29 59 2
40 35 9
14 71 5
14 63 10
