100 397
89 21 10
72 92 9
61 21 10
84 51 4
18 92 5
78 90 10
48 59 2
45 78 1
30 14 9
97 44 2
10 43 6
29 50 6
36 79 7
76 66 10
84 47 2
13 4 3
85 15 2
61 90 1
64 86 9
61 82 6
4 91 7
21 46 4
55 68 2
54 12 9
75 36 1
31 66 10
32 77 6
20 21 7
41 95 9
65 59 1
39 3 9
92 46 9
42 88 3
30 94 5
71 18 10
56 39 4
43 77 6
79 27 1
67 54 9
40 8 4
16 90 6
63 13 3
74 68 3
11 24 7
24 68 9
86 63 10
70 88 7
39 14 4
77 95 4
15 51 7
15 54 9
3 9 10
5 37 2
53 29 9
3 63 8
40 31 10
72 76 9
77 19 4
4 57 3
2 7 9
67 62 4
48 58 9
55 64 8
13 14 10
66 97 2
6 2 8
9 76 2
98 20 3
51 21 7
43 12 6
60 19 4
65 4 5
27 38 1
30 70 6
29 30 8
51 89 6
12 34 6
71 70 6
74 33 4
69 17 6
93 27 2
75 99 10
100 20 9
85 82 4
60 42 10
42 83 3
33 20 7
59 60 6
94 69 10
1 35 10
92 95 7
44 73 5
11 88 4
59 94 7
67 38 9
26 4 7
74 29 2
66 96 9
54 40 10
8 60 5
36 2 9
92 30 8
16 35 5
51 1 10
32 72 10
39 51 1
86 39 6
90 52 2
53 54 5
73 26 9
62 64 4
98 92 8
85 32 7
43 7 3
80 100 8
50 12 2
41 86 2
27 25 2
5 2 6
34 7 9
60 49 3
50 1 1
90 94 3
43 76 3
73 3 2
78 11 5
40 64 5
28 11 2
46 14 7
93 41 2
93 71 3
30 5 10
33 96 10
90 37 8
79 10 4
68 9 1
29 75 9
4 48 1
69 28 1
5 2 1
8 2 8
23 22 8
44 15 3
73 59 5
33 68 5
34 95 9
28 75 9
14 11 4
58 9 9
14 42 9
97 91 6
73 13 1
22 63 2
72 32 8
46 29 5
22 62 6
76 26 9
58 46 3
33 50 10
15 72 5
69 81 7
89 64 2
64 72 3
2 32 9
41 50 10
73 17 3
67 19 3
94 76 7
5 77 3
30 54 5
38 43 1
66 37 6
50 49 8
56 32 1
62 29 8
3 72 9
44 18 8
54 43 9
97 11 4
55 9 2
24 43 7
66 15 5
66 49 7
64 41 10
60 48 1
68 100 6
70 36 5
36 8 9
93 13 1
23 63 7
27 74 5
59 47 1
44 76 8
6 54 1
72 15 3
33 8 3
48 26 8
93 17 7
57 36 7
16 15 7
54 84 5
72 16 4
58 8 2
87 96 5
68 24 6
87 65 8
52 5 2
62 58 2
29 85 3
25 9 6
52 8 4
48 97 9
28 86 8
72 84 3
23 66 4
20 98 10
38 49 7
97 33 9
7 50 1
23 58 4
24 92 2
4 92 1
24 27 3
46 61 8
58 98 3
81 51 8
44 89 8
55 43 7
4 12 4
24 80 5
23 92 1
60 47 8
10 24 3
81 40 3
31 63 2
66 26 4
81 33 9
7 38 8
11 63 6
65 28 7
70 80 1
65 84 5
67 9 4
81 82 4
31 29 4
75 20 8
8 45 2
96 42 5
54 95 4
12 20 8
76 50 3
75 46 2
68 45 9
9 50 6
73 81 3
43 81 1
11 100 4
88 75 6
58 86 10
31 29 8
16 28 1
49 74 8
1 33 3
75 46 6
81 97 1
25 69 5
74 90 6
78 96 3
81 17 5
43 84 10
55 64 1
83 1 8
58 56 4
69 17 4
36 14 4
67 54 1
6 22 6
21 6 3
65 99 7
67 46 6
32 65 1
71 13 8
65 16 8
59 41 8
42 26 6
22 48 8
36 32 2
3 48 3
81 73 7
16 78 1
69 93 3
13 40 10
71 52 4
88 48 2
12 83 3
26 11 3
66 92 5
85 52 10
58 9 8
77 75 4
7 91 8
25 91 10
94 43 5
5 33 1
39 55 10
63 50 2
68 71 6
68 32 5
86 58 3
94 8 1
5 67 8
41 59 9
41 17 3
21 70 5
10 53 10
61 88 4
39 85 1
22 14 9
19 21 6
59 52 7
65 3 1
4 71 1
81 72 5
86 5 1
61 87 7
84 11 1
56 41 5
87 13 2
99 12 6
44 50 4
10 22 8
4 44 6
20 54 3
71 55 4
18 48 1
7 22 2
32 26 8
51 61 7
88 4 6
15 56 4
63 84 8
40 74 6
1 68 3
97 12 8
34 33 8
93 74 5
40 78 3
10 67 10
86 95 10
5 66 1
50 76 5
37 24 8
81 19 7
21 58 7
77 59 4
52 66 7
84 44 7
38 24 3
24 13 1
58 5 9
20 50 5
63 3 5
23 25 6
94 64 8
43 52 6
96 32 1
32 3 5
91 16 3
60 82 5
84 63 6
55 28 8
64 49 7
72 4 9
65 37 1
29 9 6
21 4 3
95 32 10
63 90 4
75 63 5
67 60 10
26 22 10
3 79 9
55 99 9
2 62 6
62 9 9
38 1 1
88 4 9
85 5 3
68 31 2
40 43 4
58 69 2
47 64 10
1 76 10
5 93 4
69 87 5
38 83 2
86 56 4
