100 399
64 22 8
85 76 4
8 83 9
74 23 6
94 51 9
92 77 6
11 22 8
84 44 10
47 41 3
71 53 1
100 10 7
99 6 5
82 79 8
42 69 4
98 70 10
19 15 5
50 14 1
13 57 5
97 74 2
49 30 4
66 67 3
17 2 10
46 12 1
3 75 10
27 28 2
73 100 10
100 10 2
63 36 9
84 55 10
66 2 4
91 76 7
55 46 1
23 58 10
53 60 2
28 59 10
87 15 4
62 65 2
18 83 4
56 73 2
82 15 5
40 65 4
88 7 4
12 24 3
85 33 10
34 12 4
73 92 10
41 22 1
16 37 8
39 3 4
62 99 8
90 49 7
57 87 8
45 74 7
24 75 8
44 13 1
34 81 5
22 95 2
96 15 8
84 62 3
16 59 4
59 64 4
31 67 1
10 4 8
84 47 5
23 58 9
15 96 1
31 73 7
28 5 10
57 79 4
25 16 5
12 39 9
96 99 2
22 3 8
91 75 9
82 32 2
24 82 1
16 70 4
44 20 3
100 27 3
17 62 5
94 58 5
77 26 7
71 82 7
77 48 7
83 62 7
53 65 10
58 78 2
14 48 1
5 72 9
40 3 4
95 50 1
36 63 1
92 90 4
59 87 4
72 52 1
35 86 3
82 66 4
46 83 9
10 30 1
81 65 5
68 13 8
84 53 1
66 100 2
12 72 5
1 46 5
91 10 1
77 74 5
34 95 10
14 100 6
66 73 3
41 74 10
91 89 1
26 88 10
68 40 2
27 3 1
21 59 1
78 38 4
79 90 1
68 55 5
70 2 4
44 31 7
52 67 6
35 74 1
21 1 10
4 89 2
5 14 3
58 54 3
6 96 4
18 9 7
67 23 1
81 3 2
38 1 5
25 11 10
30 58 3
58 39 5
11 23 3
68 66 9
56 10 10
45 7 4
5 29 5
32 76 2
44 23 7
62 18 8
32 37 10
12 48 6
90 82 1
4 62 7
75 22 8
15 56 6
64 80 7
44 80 6
41 73 3
10 22 5
93 94 4
73 71 1
78 87 8
77 85 4
49 96 8
26 6 5
53 69 10
90 82 5
94 37 6
16 20 5
34 40 9
98 29 3
60 82 3
3 50 3
77 89 10
29 86 4
80 76 4
6 12 9
96 2 3
89 97 3
57 20 4
5 17 3
86 49 8
67 7 6
42 66 10
53 99 10
93 24 1
74 84 10
30 72 8
90 81 4
1 83 2
67 33 8
88 69 2
2 24 4
2 65 5
89 47 6
51 56 5
59 62 3
57 4 5
85 24 10
15 52 3
10 100 8
94 37 5
23 2 10
76 93 2
95 55 9
61 44 9
62 96 6
25 55 5
59 69 1
97 98 8
46 55 2
35 8 4
24 46 8
1 45 6
71 87 9
4 92 1
48 70 5
94 78 1
7 47 4
83 75 4
3 44 3
49 60 3
54 23 7
41 84 1
67 36 9
98 71 8
7 81 2
94 63 3
51 64 8
51 45 4
24 68 3
73 28 1
4 23 9
96 88 5
11 59 4
25 39 6
40 16 10
6 95 6
69 7 6
22 30 10
20 26 3
47 94 7
25 24 8
69 94 10
3 2 10
55 61 1
57 61 3
2 99 1
72 26 2
17 29 7
41 57 2
1 60 8
99 21 4
31 89 9
42 84 3
34 96 9
23 30 7
71 3 1
7 64 6
67 17 3
28 66 1
45 50 6
51 20 4
25 31 10
89 84 7
75 20 3
11 93 1
81 1 1
6 78 10
69 13 2
8 98 8
58 59 10
27 84 2
5 91 7
89 92 7
29 31 7
53 67 6
8 52 4
29 1 2
54 44 10
88 47 6
89 4 6
43 57 7
74 45 3
28 42 7
35 18 5
58 78 9
50 31 9
39 75 6
76 79 1
16 21 1
24 29 6
49 5 6
65 15 3
10 19 8
98 8 7
57 98 5
40 83 3
62 83 6
73 15 7
88 59 2
38 67 3
76 50 6
81 99 1
8 90 3
86 20 8
38 6 2
45 91 2
24 98 6
57 52 10
42 26 1
100 77 1
52 40 10
11 30 10
31 50 7
12 27 9
98 53 1
28 27 8
24 22 6
69 43 6
16 58 4
14 31 3
3 24 8
77 97 4
76 80 1
100 88 10
72 58 5
92 94 7
41 40 9
4 94 7
30 80 6
72 28 9
63 46 4
39 66 10
36 42 1
48 23 6
95 63 3
28 64 6
76 37 8
35 74 3
30 92 7
86 62 9
40 17 7
58 62 9
64 87 8
86 23 8
80 15 10
93 25 1
80 43 10
17 87 3
48 7 3
40 32 4
19 92 2
91 9 10
15 84 4
77 82 1
38 80 7
92 6 2
67 18 9
75 71 1
69 47 2
12 82 1
30 54 3
59 47 4
5 55 10
37 13 8
16 95 6
4 12 8
42 18 5
66 65 4
1 46 1
72 28 8
100 87 4
64 19 7
46 39 1
45 60 3
92 70 8
75 21 4
46 63 4
71 80 5
41 88 7
31 94 2
75 89 4
68 66 10
41 74 1
81 71 8
84 90 1
77 85 1
3 46 3
55 85 7
97 10 10
65 63 4
18 9 3
47 49 7
79 86 4
72 85 2
63 33 9
8 16 6
91 42 1
47 53 10
51 37 3
60 55 6
95 9 3
32 14 5
5 85 9
