100 400
92 100 8
21 26 3
44 98 2
68 62 3
54 46 3
5 84 3
72 49 7
22 49 4
53 3 7
32 97 7
25 70 1
82 71 4
74 38 8
81 71 7
38 72 6
76 36 5
14 56 2
43 62 4
92 50 2
99 94 1
38 3 10
54 87 3
87 30 7
47 44 4
48 29 2
11 2 6
30 98 3
23 5 8
41 42 6
57 11 9
81 59 10
91 57 3
18 49 6
15 73 9
52 75 4
13 35 3
2 8 2
64 2 10
33 48 8
79 99 8
20 59 2
94 36 1
40 31 6
97 83 2
2 56 5
43 58 1
29 92 2
19 56 9
68 72 6
74 19 3
17 21 5
9 20 8
5 68 8
94 86 6
60 73 8
40 11 4
93 16 2
58 71 9
4 90 9
26 77 1
98 35 10
81 9 8
42 27 10
6 83 5
38 56 1
48 100 2
33 85 2
31 65 3
1 43 10
30 78 10
6 90 4
48 62 2
28 62 10
55 19 5
10 99 3
13 33 10
64 32 9
5 64 10
30 29 10
65 84 6
35 34 7
7 87 4
6 86 2
92 91 10
19 48 9
54 30 8
97 21 3
49 93 9
91 10 6
11 16 6
62 68 6
46 38 2
65 42 4
6 96 5
3 9 4
63 81 5
21 90 3
9 34 4
11 95 2
59 98 9
57 79 3
42 41 1
63 96 8
88 17 7
68 18 6
82 32 1
64 85 2
67 11 5
99 39 8
68 17 10
41 25 4
59 56 2
27 87 4
81 95 10
42 91 6
73 15 4
73 3 2
53 23 3
57 79 7
68 74 9
54 97 4
15 57 8
72 70 4
14 73 2
92 67 2
6 51 6
67 94 7
45 30 10
71 55 2
56 68 1
93 48 1
53 19 10
55 71 5
68 77 9
18 74 10
38 100 10
59 21 8
56 45 4
92 59 2
85 43 2
69 88 1
40 48 6
17 42 7
13 78 6
100 49 7
42 18 3
80 4 2
49 8 3
98 71 10
38 24 10
17 68 9
89 26 2
6 50 9
51 30 8
42 48 3
71 28 2
10 82 10
100 57 6
18 85 1
19 81 8
96 24 9
61 64 6
53 68 5
87 73 8
11 26 4
73 9 3
40 6 3
44 83 2
84 6 9
94 41 8
95 13 3
35 16 8
38 4 4
34 94 2
74 99 4
28 21 5
36 27 9
33 45 6
61 59 8
55 12 7
20 76 5
70 39 2
74 54 10
32 40 6
54 95 10
67 14 8
8 57 9
85 19 7
60 27 8
83 26 9
72 88 5
14 11 2
87 65 3
40 24 1
68 57 7
24 77 4
50 25 9
12 55 7
49 26 5
39 4 7
84 90 7
63 48 4
75 96 8
19 49 5
22 11 2
45 21 3
31 32 10
62 1 2
60 65 2
29 69 3
83 3 2
9 50 7
23 81 1
1 26 6
82 11 10
42 27 9
84 48 5
43 13 1
96 23 6
98 74 9
95 16 7
70 1 1
94 1 5
87 75 7
41 95 2
89 39 5
96 88 9
38 63 7
62 5 8
94 89 10
97 51 7
19 34 6
56 36 1
48 67 8
89 93 8
56 27 10
50 32 6
52 82 4
64 40 7
37 52 6
54 82 6
65 50 7
26 88 5
100 97 3
23 42 8
99 40 4
13 88 3
24 8 2
12 61 8
16 63 4
61 96 9
70 94 6
21 40 10
22 95 4
96 15 1
35 49 7
61 97 1
22 98 9
98 65 8
75 69 8
86 52 7
52 82 8
9 72 7
8 52 4
72 71 8
8 10 7
69 70 10
77 60 6
57 30 1
41 10 10
6 17 3
89 38 3
48 85 5
8 60 3
44 12 1
93 23 7
82 93 1
90 41 4
80 44 3
96 30 7
10 49 3
58 22 6
13 15 8
14 13 9
80 58 4
71 93 5
6 28 8
45 26 7
52 14 7
72 17 4
13 75 4
8 67 10
98 35 2
47 58 5
13 97 9
6 96 7
42 19 7
28 38 9
32 38 10
44 13 6
59 18 10
16 66 3
33 51 1
9 87 8
86 92 1
23 18 4
33 88 4
89 7 6
49 12 8
70 67 6
12 37 3
49 5 5
92 79 10
68 29 4
87 89 10
87 67 10
14 76 10
6 54 5
55 70 2
83 76 10
88 8 8
85 21 4
15 34 8
71 96 9
29 52 10
32 25 7
55 44 3
87 77 4
56 14 5
12 90 1
30 42 6
73 56 6
2 39 10
80 96 7
22 93 9
46 44 9
53 73 10
100 19 9
4 47 7
16 30 3
2 78 1
6 61 8
39 96 9
78 25 3
74 9 1
55 2 10
14 84 4
2 73 7
85 70 3
85 47 10
62 44 4
14 88 1
94 30 1
16 96 7
9 28 5
36 61 5
62 41 7
66 30 10
40 74 1
31 26 3
85 15 8
13 85 6
51 49 5
41 16 1
79 66 4
66 53 7
68 93 1
41 46 10
59 100 1
67 37 4
60 10 4
99 83 6
57 39 1
54 76 8
33 87 1
85 23 7
13 85 1
69 79 6
39 46 7
59 1 9
1 79 7
12 67 2
47 49 7
81 3 7
84 52 1
20 46 7
1 94 4
4 12 7
8 4 4
46 97 6
60 43 5
57 84 4
34 10 10
38 11 5
3 37 2
71 87 7
62 16 7
80 3 7
55 85 2
39 57 8
