100 380
26 14 1
1 7 4
15 63 5
43 13 4
17 18 5
37 99 5
70 19 7
9 69 1
78 17 7
2 64 10
36 18 1
1 25 3
7 69 7
97 36 7
2 26 1
52 7 9
92 24 8
80 30 1
23 70 8
27 62 5
91 57 8
54 83 6
68 100 7
86 25 2
9 12 5
43 62 4
3 79 8
95 46 10
36 53 8
91 22 4
78 51 4
63 2 2
60 12 7
56 93 3
29 61 10
12 35 8
8 61 3
49 3 10
67 51 8
20 33 8
64 2 1
78 36 2
71 7 10
92 84 8
15 93 5
67 66 2
29 32 6
46 54 2
4 53 2
68 76 4
15 36 1
97 48 8
7 91 3
88 94 9
76 69 1
92 11 9
49 52 9
27 49 6
54 3 8
50 81 4
22 38 7
34 4 4
28 16 2
74 83 10
98 39 7
75 84 8
8 53 3
9 26 1
11 70 10
45 43 5
30 78 1
77 10 3
39 52 3
81 58 3
98 12 4
52 82 1
49 78 7
88 21 5
5 75 10
5 44 4
48 77 8
17 73 5
73 68 2
73 15 5
18 14 2
78 65 4
92 68 8
87 41 10
83 8 8
70 18 4
74 18 5
43 11 5
81 28 2
93 31 4
5 44 8
83 73 2
52 25 1
22 44 3
90 11 1
27 15 7
32 53 2
18 22 10
59 63 6
14 81 2
39 13 1
27 41 1
16 70 3
64 35 10
51 50 10
68 32 7
93 95 10
52 77 6
21 70 7
70 22 1
65 37 5
24 78 7
86 84 8
37 21 10
56 53 4
39 43 6
33 99 6
2 25 7
31 16 6
43 60 9
54 63 2
54 6 7
11 69 7
25 72 2
64 4 8
67 23 1
18 93 6
100 69 8
14 16 6
8 13 4
34 72 7
5 48 9
61 80 6
100 23 4
79 94 2
25 91 2
87 55 6
91 89 9
84 37 6
12 67 1
30 62 5
92 48 10
56 48 5
16 57 5
58 27 8
42 37 7
24 55 5
65 57 1
95 7 2
2 16 1
96 89 3
92 47 5
73 13 5
10 51 4
46 96 8
13 25 4
38 76 7
63 33 3
72 77 1
77 39 9
9 59 4
19 42 7
87 1 1
27 93 1
35 31 6
7 21 2
19 76 5
75 74 9
77 100 6
77 5 3
4 81 10
2 51 4
19 69 2
46 32 9
9 32 9
71 19 6
14 34 9
31 64 9
11 22 2
92 13 6
77 92 7
62 13 4
66 49 2
14 49 6
48 41 2
44 52 10
68 24 6
68 16 2
49 68 7
58 23 5
34 48 3
98 93 5
68 81 5
18 70 2
15 70 2
87 11 5
1 95 7
24 5 7
97 76 7
52 8 8
70 58 10
63 21 5
72 95 4
60 84 7
27 88 6
91 3 7
24 4 10
42 43 3
94 32 6
10 89 2
14 10 1
12 55 2
78 97 10
36 22 5
26 36 4
98 82 4
45 97 2
27 72 2
81 33 9
1 64 1
17 97 2
42 51 2
92 43 10
60 27 7
37 83 8
30 90 10
51 26 4
76 35 10
3 90 6
60 57 7
64 66 6
63 40 8
81 96 6
58 33 3
67 54 2
14 36 8
24 12 4
29 16 9
1 41 3
38 37 8
24 37 6
94 81 1
61 78 1
38 79 1
36 52 9
82 71 5
55 98 8
92 61 3
21 71 7
96 12 5
37 7 3
69 29 10
16 48 6
42 84 7
62 12 10
68 3 7
76 80 7
84 81 5
45 1 1
78 81 1
52 97 10
54 22 9
22 37 3
7 71 8
48 62 4
28 62 3
64 1 6
50 31 9
35 25 4
64 43 8
28 16 8
68 94 3
28 61 6
9 7 2
54 70 8
22 6 10
15 88 7
44 42 10
77 11 1
23 41 7
64 54 3
89 19 3
94 12 8
28 88 1
16 32 2
43 75 9
55 37 10
42 37 6
23 84 4
8 97 10
78 19 7
67 16 1
80 58 8
94 61 3
64 61 10
94 34 4
80 100 1
50 23 4
45 83 2
45 30 8
37 22 9
88 2 2
36 62 2
68 63 6
85 6 1
58 74 6
12 60 10
20 50 6
18 74 8
29 63 1
56 53 6
93 74 10
18 90 7
73 44 5
41 70 9
87 36 8
25 11 3
54 74 9
40 32 4
66 5 4
61 56 5
31 1 6
28 8 3
8 47 8
92 22 10
76 55 6
96 47 4
89 26 9
61 57 6
86 31 8
62 98 3
62 67 6
34 57 2
91 36 5
27 44 7
7 55 3
34 18 10
90 96 5
24 93 6
34 94 5
97 19 6
81 95 2
88 69 5
66 38 5
69 77 2
34 22 3
66 61 6
5 85 1
14 91 2
37 74 4
27 33 2
13 78 3
60 52 1
23 89 8
49 50 6
87 42 5
2 88 5
84 75 7
1 95 10
81 29 6
56 2 7
29 63 4
4 69 2
99 18 7
31 15 6
16 64 9
18 92 1
82 99 5
49 8 4
52 91 8
2 16 2
18 96 3
48 10 7
31 6 5
27 62 1
32 78 8
