100 377
67 52 10
28 67 6
11 29 2
44 3 2
41 38 5
27 8 2
16 68 10
97 3 1
76 55 4
8 80 3
96 47 2
31 18 2
65 1 1
100 97 2
35 87 6
15 51 8
39 76 7
47 45 9
4 58 10
59 12 8
34 36 8
99 63 4
96 12 4
52 64 8
64 78 1
36 53 8
88 26 5
5 38 4
62 96 3
70 84 6
37 69 4
96 24 5
77 72 2
80 49 10
96 91 4
79 53 9
78 96 2
76 96 9
14 86 7
90 84 6
28 100 2
77 24 3
74 45 2
84 85 10
90 46 6
17 28 8
4 87 9
78 46 5
1 67 4
45 50 4
46 92 6
21 34 1
40 19 9
19 82 3
10 100 4
60 69 10
58 14 10
12 70 2
95 99 2
36 59 5
34 93 6
77 61 1
23 46 8
9 31 4
71 14 3
52 40 9
99 90 7
79 4 8
10 46 10
13 98 9
49 6 10
21 59 7
41 33 1
81 27 6
88 79 1
45 27 2
26 12 7
91 48 1
27 87 5
55 37 4
1 73 10
91 74 4
87 90 1
68 83 10
47 1 4
32 65 3
37 79 7
10 8 5
59 60 6
7 90 5
29 49 7
87 41 1
56 64 5
77 86 2
54 59 5
62 26 9
24 82 5
51 92 3
98 16 5
26 91 2
36 54 10
62 27 10
80 35 5
63 84 7
75 26 2
14 16 7
35 48 3
20 9 8
53 55 6
16 17 1
48 95 7
79 83 3
32 4 5
39 70 1
28 65 10
54 33 2
13 98 3
94 57 8
21 81 7
11 84 6
21 62 3
56 11 2
92 33 4
38 5 7
75 82 5
72 25 5
29 60 3
9 18 5
93 82 3
89 18 8
17 77 6
18 90 5
40 3 3
32 68 3
51 50 5
19 28 7
83 62 1
38 96 4
94 49 8
85 40 1
29 90 2
4 78 10
6 100 6
41 66 5
72 51 3
3 5 10
50 99 5
19 69 3
70 77 7
80 27 4
86 27 7
88 5 9
54 16 6
35 93 5
55 1 2
92 39 10
39 66 7
82 62 5
53 69 1
55 27 5
56 79 6
30 23 8
13 5 7
26 82 9
54 42 4
73 29 8
49 80 4
80 15 2
41 5 2
19 81 3
11 56 9
62 39 7
46 28 7
39 57 6
84 67 10
4 81 5
86 98 7
71 91 8
54 12 3
67 22 3
9 69 8
25 55 5
38 18 10
71 95 5
40 12 9
39 98 6
8 91 7
82 30 1
82 94 4
18 13 7
22 72 3
39 4 7
39 68 10
96 73 3
59 99 1
18 61 1
70 19 9
58 57 7
1 72 1
38 98 7
54 99 2
50 21 7
36 79 9
83 59 1
33 86 6
40 66 2
3 34 3
14 63 7
60 16 2
54 61 2
87 12 10
35 87 8
30 72 2
35 65 7
18 50 5
23 16 2
38 87 5
55 30 5
9 69 7
1 64 1
59 58 9
55 50 10
63 67 8
56 96 10
31 28 3
62 5 8
33 79 7
49 7 9
45 24 4
58 76 1
18 31 5
98 59 6
66 71 6
38 79 10
27 42 10
49 14 7
41 25 8
28 1 2
38 64 3
42 19 4
63 93 6
41 15 9
50 70 10
67 54 6
57 91 7
79 8 3
25 65 8
78 62 2
29 15 8
29 39 2
96 60 8
39 56 7
97 39 5
91 6 2
99 39 7
60 88 3
51 81 9
76 91 8
53 9 10
8 2 3
29 68 10
77 68 10
11 65 9
70 37 6
64 73 3
90 41 4
67 8 2
55 14 4
29 45 3
42 11 8
43 12 3
40 91 7
45 88 9
36 81 3
35 60 2
55 52 8
58 52 6
41 55 3
30 62 4
39 6 5
3 93 5
100 30 1
74 22 9
83 66 1
34 8 7
5 60 5
59 63 8
100 95 5
21 32 5
79 94 5
9 21 8
43 60 7
27 64 5
27 41 3
57 44 10
69 24 1
54 6 5
52 40 5
29 75 7
21 78 8
76 68 9
84 57 5
85 6 1
25 45 10
93 68 4
88 16 3
90 86 10
99 43 3
69 85 7
7 18 5
58 73 1
39 13 7
14 31 7
19 1 10
62 26 1
86 96 2
34 26 1
85 17 2
88 24 2
44 69 4
87 20 9
66 57 5
14 99 6
100 30 9
48 30 4
3 20 10
16 27 7
85 65 5
31 26 8
59 40 5
84 60 1
21 1 7
99 16 7
25 18 10
98 18 1
7 13 6
55 17 4
92 25 1
79 82 7
49 1 2
32 14 6
81 60 7
4 17 6
96 32 10
30 20 5
30 87 4
44 98 3
10 32 2
29 55 10
6 12 2
3 31 1
17 87 2
16 26 5
51 3 10
21 30 10
43 89 9
35 69 8
13 40 3
58 16 4
9 6 9
78 33 7
71 54 6
36 84 1
50 56 8
95 2 5
62 70 10
26 70 5
65 75 5
86 48 4
16 65 10
92 96 6
93 58 10
77 28 6
9 58 5
14 7 2
3 37 2
43 9 7
