100 395
62 20 4
97 83 3
92 43 4
52 34 8
97 14 7
71 53 10
12 24 4
27 85 7
30 94 1
54 30 3
39 91 5
11 9 10
81 40 1
63 48 6
16 53 8
41 15 8
8 23 8
46 73 2
9 13 6
32 84 9
83 97 3
9 80 5
95 47 2
16 59 5
90 4 5
32 21 7
39 56 6
81 28 4
6 71 5
85 98 4
48 25 4
99 67 6
89 17 2
11 9 5
93 54 7
68 61 10
1 52 2
80 67 8
90 31 8
35 50 2
84 43 4
64 48 9
42 96 2
33 78 8
90 91 4
65 92 2
40 88 5
91 79 7
34 88 8
24 19 9
86 93 1
68 33 10
90 31 3
39 22 7
98 84 10
69 75 2
80 82 6
5 61 4
88 52 7
83 92 8
23 58 9
11 81 2
70 15 8
85 14 9
21 79 4
10 19 2
64 58 8
87 79 6
37 49 2
66 78 6
49 63 4
40 23 10
66 36 9
39 29 10
43 80 6
68 45 6
80 82 1
74 57 2
66 29 6
7 94 7
8 79 5
33 25 1
7 11 9
68 60 9
71 67 9
42 94 4
24 52 5
16 78 8
90 11 6
70 41 6
82 36 4
94 50 6
7 52 6
59 83 7
25 27 5
41 53 1
90 18 5
70 78 9
43 30 9
15 38 4
6 9 1
59 33 6
27 52 6
75 91 10
26 88 6
60 41 4
53 96 2
95 79 9
41 94 1
36 78 3
35 29 8
51 77 4
75 38 3
45 80 7
17 58 7
71 55 7
75 83 1
40 60 8
10 19 5
27 3 1
21 59 1
3 31 5
87 90 9
30 16 2
62 56 4
72 81 4
4 86 1
53 55 1
50 84 4
6 40 6
90 26 8
82 17 7
58 93 4
86 66 4
1 31 7
64 99 7
69 17 9
46 74 8
39 32 5
38 47 8
26 83 2
66 100 1
64 50 7
2 100 5
55 1 7
46 70 10
100 79 3
28 87 1
15 19 3
59 33 9
94 45 6
74 1 4
61 83 7
50 49 4
31 75 10
8 12 7
91 73 6
93 78 5
31 34 5
80 61 2
74 5 6
66 8 7
26 64 1
73 93 7
77 100 2
31 7 5
48 3 3
87 24 4
62 17 7
10 17 2
51 53 9
62 63 1
28 18 8
11 22 7
89 45 2
86 16 2
59 9 6
1 95 8
37 93 2
6 81 1
9 51 5
81 7 3
89 51 8
1 27 4
49 91 10
31 94 4
54 23 8
21 61 9
67 14 4
79 36 10
24 32 2
5 42 9
16 19 4
5 93 2
53 3 10
50 33 9
64 83 7
59 5 8
78 59 2
21 38 2
78 10 2
60 74 3
75 51 1
64 56 3
54 30 10
47 18 8
3 60 2
71 46 4
71 69 6
54 95 5
6 56 10
89 74 5
51 86 9
74 99 3
30 68 9
66 7 4
83 70 10
14 21 1
85 45 5
34 47 1
47 90 1
15 9 4
74 30 6
39 49 10
77 35 1
14 89 10
32 70 9
79 27 8
17 32 4
76 40 4
48 82 1
38 34 8
62 96 5
96 99 1
22 99 2
52 34 5
14 79 1
78 74 4
48 85 2
3 86 8
66 10 10
19 6 6
7 53 10
14 89 5
43 46 2
91 22 1
2 64 2
24 45 10
27 100 6
25 13 2
23 69 8
32 99 9
59 11 8
52 7 10
63 25 6
1 59 2
42 77 9
18 15 1
82 21 4
18 19 8
38 33 6
87 71 9
50 9 9
9 46 4
39 52 1
24 38 2
12 87 10
7 64 1
9 64 3
31 51 4
50 66 8
75 83 9
23 20 3
85 14 2
18 38 7
51 1 4
91 51 9
91 40 9
8 22 8
70 83 10
3 93 6
42 64 6
52 6 8
49 51 10
58 51 1
97 58 4
26 4 5
64 77 1
24 18 9
14 54 5
91 29 7
46 52 10
34 31 5
59 30 7
13 94 8
30 28 6
22 59 4
44 31 1
15 80 3
68 67 9
40 34 3
95 56 10
8 66 5
98 92 1
65 60 5
22 97 7
29 82 10
16 100 10
64 31 6
16 39 9
42 34 9
62 37 6
11 15 7
40 70 9
18 40 2
71 36 5
58 96 7
55 59 2
74 44 5
34 30 3
40 13 5
40 22 1
49 24 5
29 40 8
21 24 5
58 65 6
70 36 4
17 61 9
60 51 10
71 28 5
33 69 3
24 40 9
70 48 5
33 42 4
63 1 1
89 14 8
13 40 4
67 68 10
4 5 1
25 56 1
23 7 3
82 20 1
42 44 4
72 62 6
69 35 1
4 28 2
84 79 5
78 56 9
35 24 6
67 64 8
28 15 1
68 73 9
77 81 4
98 83 5
66 57 9
44 49 2
18 35 7
16 80 8
11 68 8
87 73 6
55 62 2
64 83 1
71 12 5
82 81 2
98 37 10
21 16 9
25 21 1
34 15 9
38 99 2
93 36 9
48 90 9
98 74 4
82 46 7
46 97 2
45 70 7
91 1 5
99 15 6
89 14 7
44 60 3
43 90 10
48 10 3
39 24 7
84 90 10
17 60 7
56 79 3
65 56 1
11 83 5
65 25 4
73 36 9
37 89 2
18 62 5
56 96 9
50 33 2
2 58 4
34 70 6
