100 372
30 87 3
6 99 6
6 34 7
62 21 5
96 66 7
89 47 3
1 3 2
27 96 7
17 29 1
4 69 1
48 86 6
74 54 7
32 40 3
43 89 3
41 83 8
68 43 3
31 44 4
45 47 8
68 4 2
39 31 4
1 6 3
75 100 3
8 27 1
98 13 5
100 77 10
23 92 3
87 64 4
56 70 1
93 54 7
98 5 6
96 46 1
95 4 8
96 46 10
86 26 7
8 65 5
44 70 9
22 56 6
83 2 7
67 47 6
62 54 10
30 67 1
66 94 6
94 43 9
91 25 9
55 12 3
13 96 5
97 51 9
2 60 7
82 37 10
96 15 8
31 10 1
48 29 1
33 97 8
72 76 9
99 86 1
77 53 6
58 94 2
12 1 5
12 76 8
62 88 3
92 49 4
8 44 7
9 26 1
31 54 3
55 38 1
96 15 3
13 91 6
44 17 2
58 70 3
91 98 2
80 82 10
59 64 8
97 24 9
44 96 2
45 62 5
12 88 4
74 44 4
50 58 2
14 47 9
59 98 5
20 92 2
84 42 6
61 77 1
13 30 3
78 42 2
11 99 4
40 87 7
1 58 2
52 71 5
21 63 4
50 66 5
22 63 8
13 56 6
8 52 10
21 37 6
53 62 9
53 12 8
43 49 9
68 25 9
52 36 6
88 73 6
3 74 7
25 38 9
17 30 6
88 65 1
33 50 2
1 84 9
80 66 6
98 53 3
17 96 2
77 90 8
97 77 1
51 15 6
21 54 8
86 69 1
40 25 4
78 31 1
3 4 5
50 20 10
63 49 7
19 97 3
48 4 9
13 97 6
30 31 4
2 51 1
63 8 2
72 77 2
29 78 10
22 77 8
68 97 6
3 43 1
22 67 9
81 57 5
58 77 9
100 60 7
13 59 2
56 82 7
47 11 7
7 67 2
13 48 10
56 41 2
59 81 8
50 84 3
90 70 4
97 22 5
7 13 8
25 30 4
92 29 10
45 86 4
95 14 9
62 63 10
2 63 1
59 28 10
8 96 1
81 79 5
14 46 6
27 9 2
75 48 6
65 59 5
72 28 10
2 69 7
58 53 5
4 81 1
61 91 10
80 15 2
67 89 7
55 9 6
71 23 3
47 75 8
64 7 3
38 80 8
4 100 10
60 70 10
19 49 10
86 79 3
78 82 4
70 96 5
92 73 6
37 61 3
97 44 9
81 6 1
98 33 4
97 18 2
54 30 1
35 23 10
26 97 1
36 8 8
44 6 10
37 99 7
18 50 10
52 91 5
85 11 7
78 93 4
68 91 4
39 26 8
2 8 9
98 62 8
62 17 5
20 3 1
89 13 2
82 6 7
58 3 3
38 26 4
79 100 7
79 92 3
29 58 7
77 42 9
47 41 9
5 50 7
34 43 8
13 54 1
49 22 7
67 59 5
98 77 10
96 92 7
19 25 10
53 51 8
22 80 6
15 96 4
7 12 9
19 79 5
88 25 10
82 86 4
54 64 7
37 98 10
69 29 6
4 26 5
31 77 7
54 38 9
10 1 10
95 81 6
4 90 7
47 6 10
3 59 4
65 1 2
28 24 4
42 38 8
32 61 9
51 52 1
36 90 4
54 14 1
79 53 1
2 98 4
59 11 3
26 66 3
9 30 10
45 20 6
67 42 9
28 16 4
92 91 8
17 51 2
10 84 2
12 73 4
36 98 3
91 86 3
34 31 10
41 29 5
83 27 10
6 48 9
42 45 1
28 96 1
54 21 4
21 55 7
28 35 3
99 43 4
100 81 8
64 28 9
42 84 6
50 39 8
18 86 10
36 93 4
6 63 1
83 53 8
71 59 2
83 81 8
22 93 10
98 8 2
88 39 10
90 67 2
25 90 4
18 97 6
69 21 9
36 92 7
2 47 5
48 54 8
84 4 3
94 73 4
77 75 8
3 88 2
47 16 3
16 51 1
70 60 3
62 49 7
53 42 10
40 82 10
63 39 5
86 16 1
15 45 9
93 90 10
51 4 8
18 97 10
5 71 9
83 80 7
50 87 2
65 30 4
94 31 2
94 95 5
24 48 4
79 26 5
93 36 10
63 53 2
54 35 8
65 37 2
45 90 4
75 7 8
88 92 2
49 84 5
19 66 4
81 38 3
10 25 8
96 90 2
23 52 10
50 46 10
87 47 3
79 59 6
17 45 10
98 52 8
82 88 5
25 56 5
67 26 8
31 37 3
97 87 6
96 47 8
94 19 9
38 58 1
12 55 6
74 81 3
96 17 3
100 60 4
52 23 4
8 66 3
67 3 2
96 66 8
41 50 7
73 67 10
61 89 10
29 85 10
12 47 6
57 97 2
63 71 9
68 20 6
66 53 2
12 25 5
81 52 3
100 7 2
75 36 2
48 71 9
49 50 1
99 41 4
57 9 1
55 20 8
31 2 8
97 95 9
68 99 2
73 28 4
84 55 2
78 13 5
34 86 5
54 58 9
13 51 3
10 5 2
41 57 1
