100 376
44 56 9
98 81 6
56 20 1
67 2 9
12 81 8
74 87 9
98 93 7
58 87 9
46 54 3
48 7 1
95 58 7
15 55 6
81 97 5
30 46 6
49 15 7
21 57 4
55 24 5
87 80 8
11 21 2
25 43 10
31 64 1
43 78 3
38 98 9
73 99 9
25 13 5
10 96 7
25 88 8
47 64 9
9 61 9
90 88 4
38 71 9
61 17 3
60 88 2
92 5 8
18 38 6
47 37 9
1 60 6
60 50 2
23 16 4
13 80 10
22 4 5
48 29 6
94 1 7
42 95 1
56 85 3
54 91 9
38 83 5
49 90 9
94 86 6
22 33 9
6 25 5
20 36 4
70 11 6
86 90 4
25 80 3
48 1 9
42 87 10
56 43 1
70 49 1
77 76 4
54 10 6
61 54 5
17 43 5
42 72 8
67 28 1
95 19 1
77 94 2
32 35 3
54 59 1
53 70 4
75 42 1
72 94 3
95 34 7
69 1 7
60 23 6
32 42 1
26 8 5
30 55 3
93 72 9
43 72 6
62 4 3
100 96 3
24 98 4
18 45 7
76 54 1
87 25 2
58 60 8
52 32 4
85 37 1
1 36 10
1 81 9
76 41 4
57 26 1
35 17 7
81 46 10
86 78 6
28 91 9
85 63 4
54 67 5
22 70 6
16 58 2
40 76 2
69 35 9
86 85 5
91 14 7
56 57 6
8 93 6
43 98 4
80 62 8
75 84 2
49 81 7
91 40 10
47 20 7
92 83 5
37 98 1
68 97 2
43 79 8
96 89 4
56 44 8
83 80 5
92 78 2
84 60 4
59 52 9
57 33 3
97 5 8
31 69 8
84 49 3
50 57 4
69 51 2
71 17 2
79 18 8
56 30 1
78 60 5
80 88 6
15 34 1
22 70 5
50 12 1
26 45 2
72 51 3
99 5 5
82 62 10
91 24 10
83 19 7
44 34 3
21 28 4
72 66 6
41 32 2
75 67 6
20 61 3
19 43 4
71 99 8
48 87 6
51 7 6
63 11 6
71 92 4
76 71 2
9 25 2
49 42 9
36 46 9
36 30 1
80 3 10
17 91 2
33 38 8
82 42 3
17 18 8
51 53 4
100 82 3
26 71 4
67 22 8
84 52 8
92 13 6
57 92 6
60 77 5
71 8 5
31 53 8
93 43 10
32 66 4
46 65 10
24 23 10
41 8 8
20 38 5
42 62 3
24 99 5
98 52 9
82 18 9
36 30 9
36 71 10
40 55 7
78 77 10
53 6 10
99 37 8
8 50 5
70 58 1
82 87 10
31 75 8
37 77 6
29 69 3
34 85 10
94 32 6
5 27 10
90 47 1
19 53 7
73 17 1
51 48 9
7 11 4
59 62 2
45 81 4
68 72 9
67 9 9
24 27 7
75 1 9
74 12 3
57 38 2
7 65 7
99 44 2
29 16 5
89 24 8
23 80 4
97 14 4
51 59 1
28 51 8
16 10 7
24 61 4
9 20 6
91 49 10
2 83 7
77 88 8
71 52 1
75 5 10
3 97 4
57 83 4
5 50 2
21 87 1
91 67 8
54 15 7
77 65 5
72 19 3
17 39 6
88 33 9
91 29 8
52 33 4
93 87 10
75 1 8
9 15 8
70 64 2
18 83 10
57 15 8
18 64 6
11 74 5
31 89 4
70 98 9
12 32 4
24 57 6
13 95 1
83 47 2
54 82 10
30 32 4
93 11 1
2 40 8
68 82 7
20 77 6
86 2 5
49 17 3
69 20 9
23 76 1
77 57 10
12 58 6
99 10 3
2 37 2
28 73 3
52 67 5
57 41 6
41 78 1
6 29 4
85 56 3
27 98 7
23 76 5
77 41 6
9 57 3
15 16 1
86 59 9
19 21 2
43 69 3
48 62 8
24 70 6
43 72 8
92 37 4
67 27 2
72 10 1
49 16 1
40 30 5
26 80 3
4 85 7
53 74 3
47 74 9
74 6 1
91 13 8
2 25 5
98 15 10
68 6 6
40 48 9
84 72 3
43 41 2
68 93 7
90 86 1
98 53 5
2 32 3
40 33 1
28 75 7
2 78 6
42 14 8
66 61 7
11 88 5
70 67 1
92 3 10
42 48 6
4 89 4
46 32 8
76 41 5
37 5 9
20 65 8
14 68 10
61 87 2
100 83 3
22 35 4
57 90 4
90 14 4
66 92 8
36 81 6
19 66 4
55 1 9
11 30 4
53 30 8
64 57 7
46 77 10
4 47 2
20 27 3
69 99 8
43 32 10
64 86 6
74 92 3
20 87 8
96 9 8
52 54 10
4 39 2
27 58 4
36 12 4
7 5 6
76 10 7
49 58 1
26 51 5
19 42 9
1 87 6
11 45 10
49 7 4
70 61 9
28 59 7
34 51 6
42 9 8
61 41 2
67 75 7
85 69 6
74 91 2
46 24 3
10 35 7
3 65 3
14 30 4
67 48 4
16 60 7
87 23 4
57 65 8
2 92 6
37 23 1
76 14 4
48 45 1
33 15 3
