100 380
47 79 3
37 80 1
17 10 1
59 16 1
26 90 5
80 26 4
29 92 3
22 24 2
44 82 2
94 63 10
1 6 8
81 14 7
49 25 6
55 73 5
35 31 7
18 16 5
19 34 9
36 75 9
13 65 9
15 93 1
85 57 4
40 61 6
90 96 3
2 87 7
26 73 5
48 32 7
6 7 3
35 61 7
24 99 2
76 54 3
99 79 2
59 73 4
91 49 8
7 87 10
28 47 8
52 64 3
50 9 3
95 16 9
2 49 2
16 60 1
42 69 3
84 28 5
35 65 4
2 33 8
72 87 1
24 87 9
100 32 2
56 62 6
29 30 4
98 1 3
53 89 5
47 2 6
55 86 9
41 53 2
26 85 5
70 46 5
19 14 7
39 6 4
1 9 3
21 37 7
2 10 10
77 57 8
1 21 4
24 53 2
41 71 9
36 82 2
14 78 10
51 47 1
60 46 3
20 62 2
52 90 5
96 26 8
34 12 3
17 50 4
29 42 9
76 99 5
61 84 5
61 27 10
57 87 7
45 42 8
18 7 3
97 20 2
53 63 1
81 62 5
64 24 1
71 79 1
72 97 4
57 30 3
90 98 1
52 6 10
26 62 3
61 57 10
37 94 4
68 37 6
87 10 4
58 94 1
46 49 2
85 13 7
70 82 6
17 39 7
89 42 2
23 33 9
19 9 3
48 81 5
43 69 5
21 24 8
4 9 6
67 19 9
53 36 1
98 57 1
3 81 6
86 55 9
44 99 2
25 34 7
91 85 8
65 72 8
31 5 6
96 82 1
1 5 4
3 69 9
100 46 1
83 84 2
68 40 6
45 75 8
20 80 4
62 63 2
70 21 4
36 55 1
19 92 9
10 21 9
58 39 5
48 42 4
70 33 5
84 11 3
17 34 3
88 73 5
58 51 6
64 53 3
70 86 7
65 41 6
53 38 10
76 26 9
59 86 2
31 11 7
10 21 4
56 44 7
75 40 7
84 26 10
93 2 6
86 46 7
84 29 2
80 87 4
76 55 3
16 38 4
11 26 4
26 25 5
30 38 10
1 91 1
76 25 7
51 18 10
6 23 5
29 25 2
48 18 4
9 16 10
18 62 3
7 44 8
69 31 5
49 64 1
43 90 3
3 4 3
59 51 3
54 80 7
71 68 1
98 97 3
89 21 8
1 15 6
88 95 4
84 96 9
23 36 8
30 15 8
23 39 9
31 90 6
95 96 9
77 66 3
93 2 9
45 21 3
70 11 5
14 67 5
60 77 4
31 14 7
50 32 7
26 9 9
5 42 8
60 99 9
62 24 8
40 5 1
90 49 10
37 76 1
18 69 10
80 52 9
61 32 7
16 11 4
43 77 4
59 99 5
72 23 1
29 65 10
7 100 1
16 59 7
43 20 9
88 75 2
48 55 6
27 16 7
81 77 10
9 61 6
48 74 6
67 32 1
21 3 7
3 90 10
83 1 4
30 83 2
32 80 4
9 95 4
53 63 4
4 22 3
2 34 2
83 16 6
43 72 9
64 96 10
92 46 10
40 69 7
7 14 9
34 61 6
65 85 5
31 93 6
50 36 3
81 31 6
30 2 8
20 67 7
82 97 3
6 25 2
20 59 3
34 42 1
34 42 10
49 2 5
3 97 3
1 47 9
77 75 9
41 97 5
76 79 1
78 57 3
10 7 7
50 13 6
78 49 8
28 49 5
94 47 7
86 55 3
19 67 6
75 84 5
78 72 9
4 10 9
88 86 1
95 60 3
29 30 5
91 13 4
94 53 4
46 37 3
78 31 4
17 100 2
78 23 9
64 43 3
76 79 5
30 54 9
53 61 10
67 12 4
16 1 5
91 70 3
21 37 8
56 41 10
55 40 2
64 50 1
51 58 2
52 39 4
1 24 6
33 80 9
72 82 3
80 92 6
35 44 7
7 64 4
57 22 10
49 36 2
86 85 7
38 51 4
46 63 10
91 90 4
18 71 7
23 33 6
66 88 7
90 94 5
37 25 10
81 23 5
53 54 2
30 24 8
93 37 7
20 69 1
70 66 9
51 8 5
15 46 9
27 83 4
3 77 6
69 58 7
27 44 3
70 90 2
68 48 3
51 50 7
68 63 1
43 41 6
5 39 7
93 14 10
85 17 2
58 74 1
18 93 8
13 40 4
66 15 8
28 75 2
35 81 10
74 36 10
59 10 10
41 13 4
93 44 1
77 67 3
72 54 7
61 11 2
1 50 8
45 56 10
56 17 10
94 60 5
14 99 1
23 36 7
57 20 2
93 78 7
61 56 9
76 2 4
58 100 8
36 92 1
20 11 4
96 5 2
64 34 5
51 61 6
46 13 3
65 64 10
8 12 4
90 13 2
10 52 7
49 83 3
19 50 4
90 89 6
69 54 4
99 68 8
88 42 9
53 57 6
54 19 4
93 2 3
79 89 10
87 16 6
59 13 10
19 58 4
98 41 2
1 19 10
18 43 1
77 9 2
91 31 10
52 91 8
63 86 2
39 95 8
19 95 7
27 9 8
83 3 5
52 72 3
4 50 2
8 39 3
