100 400
6 72 7
96 84 1
19 26 10
87 57 2
96 46 2
49 60 1
21 80 10
82 57 3
69 98 10
71 23 9
84 97 3
36 60 3
7 51 4
61 90 10
43 62 4
99 49 2
12 100 7
2 34 1
78 9 7
48 96 10
40 1 6
11 56 1
43 81 4
73 62 1
73 12 9
17 51 1
82 56 1
29 65 3
84 93 5
68 23 1
4 65 3
100 93 4
63 78 10
83 17 1
16 60 10
1 78 4
78 46 5
57 76 8
91 60 3
78 5 9
62 65 6
56 8 8
15 43 8
37 15 5
42 76 1
99 74 8
10 95 10
89 88 7
18 3 2
49 78 3
81 17 3
87 72 7
66 13 3
36 44 7
56 88 8
76 80 5
54 10 6
97 63 5
25 1 7
77 7 7
35 48 4
5 7 1
38 90 8
51 24 8
93 22 4
18 34 3
5 19 2
86 96 6
28 32 5
100 8 8
9 84 10
63 81 1
4 72 1
55 6 7
73 68 2
70 75 8
76 11 4
11 12 9
86 17 10
45 46 1
23 11 4
53 59 8
13 64 10
21 25 5
51 84 8
68 32 3
15 87 9
13 18 6
19 9 3
65 91 9
96 79 5
86 70 2
74 70 2
69 96 10
96 29 4
17 57 6
29 71 8
29 60 8
3 4 10
48 84 10
3 55 3
49 12 6
53 35 9
77 83 10
8 40 4
96 41 5
14 31 10
41 25 4
75 14 5
34 27 5
78 38 4
13 90 8
56 19 6
6 36 9
64 61 3
93 52 8
65 94 5
19 1 8
56 22 7
46 90 2
37 82 7
24 48 2
66 20 9
69 39 10
22 9 8
3 58 8
81 65 4
58 39 5
67 57 8
80 58 5
85 40 10
44 7 8
60 6 5
51 80 5
10 98 5
1 27 5
62 48 9
21 55 3
29 97 10
75 22 8
77 78 6
87 28 6
23 78 2
72 2 3
56 29 10
97 23 2
93 29 9
74 78 9
73 60 10
58 65 3
1 88 10
16 8 4
19 16 5
3 38 2
27 44 9
39 47 2
69 72 6
32 40 7
36 68 10
97 31 10
29 36 3
22 43 5
30 100 4
90 24 5
97 4 1
57 54 2
51 88 8
91 12 8
92 86 9
22 39 7
82 42 3
74 84 10
92 96 4
31 41 7
28 71 6
57 100 10
52 76 8
74 35 10
100 63 7
56 70 9
92 69 9
29 55 7
99 19 10
81 44 1
51 67 1
32 71 2
19 30 5
34 60 4
74 16 1
50 83 5
68 24 1
16 94 2
36 60 10
57 96 7
18 77 1
2 77 1
69 99 9
62 39 2
2 58 6
60 100 6
14 22 7
97 30 3
96 1 5
59 5 3
49 94 5
36 53 6
43 55 8
6 7 1
5 81 9
40 1 4
87 11 9
56 93 10
47 33 10
2 30 10
54 69 6
61 79 3
57 46 1
42 16 3
29 62 9
29 20 3
99 18 8
87 99 5
19 15 7
67 44 3
79 5 8
26 20 5
29 13 9
9 16 4
76 92 5
89 58 10
2 34 3
92 12 4
62 43 8
1 14 9
74 7 9
2 30 5
45 73 4
83 79 1
30 83 7
11 9 7
42 38 4
38 41 6
58 87 1
29 13 4
40 11 2
81 100 3
38 15 8
96 76 3
62 43 3
28 62 4
97 67 5
77 50 8
27 84 7
27 53 10
59 95 7
70 15 6
38 2 1
87 45 6
50 16 3
50 78 5
75 54 5
40 31 3
49 2 1
58 48 10
87 83 10
32 77 7
40 65 10
60 4 4
23 27 6
45 19 5
69 6 8
23 8 1
74 44 2
74 21 9
13 46 10
72 75 5
37 60 1
98 65 3
58 70 5
9 60 10
3 89 8
72 41 3
18 45 5
68 6 7
72 18 10
78 43 1
19 47 1
4 29 5
28 13 3
32 80 3
14 1 8
68 32 10
59 79 3
72 97 6
95 88 3
42 64 10
91 44 10
92 6 8
2 78 7
4 78 9
78 12 9
17 77 9
10 87 7
52 48 5
47 55 9
63 92 8
69 39 4
6 44 6
83 65 9
81 23 1
68 64 3
56 94 7
30 16 9
70 67 6
83 92 4
30 17 9
41 89 9
89 11 3
63 27 4
84 72 3
93 36 6
64 27 7
43 76 5
11 1 1
25 15 5
11 34 7
74 70 8
34 75 10
12 56 3
74 59 7
38 54 4
93 14 10
34 71 8
51 73 8
35 17 8
51 31 2
54 86 1
57 82 9
14 7 8
96 47 4
69 77 7
64 53 5
7 40 9
81 41 8
1 80 4
12 98 9
40 28 2
55 35 7
10 51 2
61 60 7
92 52 1
85 36 10
43 89 5
29 70 3
83 37 8
86 22 7
36 11 4
97 15 8
69 46 5
10 89 6
41 58 7
8 39 4
55 85 3
37 74 4
11 37 7
55 24 2
22 81 7
59 24 6
49 91 8
11 83 1
34 91 4
40 93 1
2 12 10
45 55 9
88 57 7
76 94 6
44 82 3
71 23 10
53 45 5
92 66 6
20 19 3
14 60 10
67 59 9
59 73 10
27 13 1
55 46 7
80 3 3
64 86 10
84 90 1
61 82 7
96 17 7
18 39 4
72 23 9
31 60 4
70 62 10
82 76 3
64 49 2
5 84 8
89 51 5
66 56 3
