100 370
71 88 8
25 85 3
23 86 2
92 54 4
79 28 3
48 21 3
84 77 7
85 30 9
76 96 5
100 10 7
93 9 5
11 78 6
32 74 5
73 65 3
71 99 4
31 6 9
12 47 5
15 9 2
36 72 4
38 75 2
43 54 9
100 82 4
24 87 10
55 69 3
82 98 8
71 8 6
85 95 8
28 10 5
23 62 8
25 20 4
88 64 9
88 56 5
66 44 9
6 95 8
70 39 3
26 17 2
77 27 8
15 85 10
10 50 8
88 78 10
39 71 8
42 51 4
72 68 10
5 84 2
72 57 10
21 53 6
16 37 8
43 65 9
85 3 5
59 68 6
7 53 3
2 11 2
94 16 9
21 7 2
5 88 4
57 72 1
9 57 2
66 70 7
90 31 3
32 23 7
90 35 1
15 89 2
96 68 1
74 26 1
68 26 7
90 80 8
31 100 7
11 39 5
15 62 8
74 83 10
43 23 7
95 12 2
56 61 9
48 69 5
67 36 5
92 76 8
50 73 4
57 83 1
48 1 4
29 91 5
72 74 7
46 15 5
11 17 3
70 90 6
73 23 4
60 72 6
16 32 5
60 30 9
34 100 8
16 13 9
94 69 1
24 34 2
4 86 2
22 97 10
60 48 8
44 81 9
57 60 3
74 67 1
85 2 7
69 39 2
61 19 1
14 77 9
51 65 3
64 8 6
32 42 5
98 50 2
27 7 3
17 100 4
11 30 3
71 28 8
8 93 6
2 21 5
46 91 8
25 30 1
55 36 7
19 59 8
20 9 3
32 64 6
3 1 9
7 40 3
50 31 1
11 57 6
31 49 3
29 72 4
1 39 6
81 92 4
12 34 9
11 27 1
51 53 1
50 65 8
73 78 9
28 94 4
80 88 6
85 84 7
28 41 7
25 91 2
74 82 2
3 24 5
95 44 1
52 81 3
4 29 1
93 64 4
25 2 9
19 46 10
75 56 10
35 67 2
51 3 4
1 8 9
94 91 9
39 51 4
83 23 4
4 66 4
48 33 8
49 54 6
50 95 3
48 64 4
26 22 4
28 34 8
23 44 8
35 58 10
89 44 1
73 22 1
63 64 9
70 10 3
61 10 8
26 48 7
80 4 6
64 57 9
33 57 3
87 55 5
95 21 7
60 36 4
14 22 8
35 80 2
7 24 3
14 68 2
1 83 2
53 11 9
25 44 10
91 42 8
68 55 3
15 98 7
68 47 8
33 26 2
56 58 8
14 8 1
49 26 1
64 44 6
65 71 10
40 100 1
41 80 9
13 77 4
87 69 10
6 26 10
44 52 5
12 66 7
61 63 9
41 88 8
21 69 3
39 22 6
58 3 8
84 10 1
63 44 2
90 47 1
81 59 8
93 84 1
61 51 3
94 41 2
43 84 7
43 73 7
35 31 9
89 54 4
13 68 7
21 15 9
20 37 3
99 94 3
97 63 4
63 22 1
22 64 8
88 18 3
80 90 4
83 70 5
54 11 5
58 33 3
51 21 1
67 66 4
21 37 10
65 27 1
4 95 1
88 37 2
41 8 2
97 2 7
24 22 8
66 9 4
7 19 7
100 13 4
25 19 9
100 16 6
69 45 4
40 15 4
71 59 8
95 43 6
82 14 1
91 71 10
32 42 4
6 34 3
52 14 8
37 75 3
86 13 6
20 55 6
34 61 6
24 41 3
22 44 6
69 93 8
9 57 8
19 71 8
77 83 4
57 60 1
47 86 2
10 87 3
22 82 1
75 91 8
92 49 1
63 27 5
73 98 9
45 42 1
42 27 7
35 86 10
74 52 10
6 97 4
94 28 2
9 87 4
78 73 1
6 67 8
89 60 8
4 3 6
45 88 9
35 13 7
76 15 3
26 23 4
77 52 2
4 28 8
21 78 4
51 69 3
57 86 8
99 51 7
87 36 9
66 88 3
7 78 10
44 57 3
19 73 8
84 75 9
93 10 4
16 89 10
5 10 4
21 51 9
4 9 8
48 79 10
29 22 10
98 41 4
11 27 8
25 87 7
65 45 3
15 72 8
36 4 6
98 80 4
48 80 1
24 25 7
80 55 7
81 68 3
98 64 1
94 34 8
20 31 10
82 62 8
26 14 3
80 23 5
33 81 5
38 51 8
4 21 4
20 99 1
3 73 8
71 73 3
40 14 1
18 66 8
32 22 6
71 43 7
41 96 2
67 27 5
50 53 4
44 84 6
64 87 3
90 40 6
70 40 5
5 86 6
18 2 10
83 56 3
50 27 5
39 42 6
50 94 4
11 45 6
27 71 2
97 12 3
50 87 10
51 41 10
9 63 4
14 84 8
100 41 9
60 40 8
97 53 3
87 92 6
82 76 8
45 67 10
40 89 3
68 27 9
5 96 5
5 62 3
64 33 4
80 45 5
74 4 7
54 4 6
75 16 5
76 52 4
37 11 9
69 95 9
96 39 3
22 92 7
13 85 5
33 98 1
100 89 3
39 27 7
