100 384
5 12 6
75 62 4
58 34 7
61 60 10
8 12 3
75 13 4
34 96 8
65 82 8
23 100 3
48 33 4
45 51 1
23 81 8
55 31 8
10 55 7
61 90 10
34 47 8
27 54 10
14 72 10
3 7 10
42 73 1
15 25 10
9 24 6
78 17 2
29 100 2
35 19 10
5 42 1
90 99 4
61 59 9
86 21 9
28 2 1
2 7 10
73 31 5
64 86 4
90 69 8
83 60 3
11 85 9
97 55 2
72 67 9
88 26 9
86 59 4
77 72 6
35 72 8
30 48 6
12 69 1
10 69 8
86 25 1
33 82 5
6 41 4
31 93 9
16 66 7
77 80 6
74 64 1
6 3 5
86 48 2
49 94 6
53 97 9
95 39 6
6 82 5
77 50 10
28 39 4
5 83 10
26 4 8
13 84 8
53 78 4
28 51 5
50 66 6
40 80 5
77 87 4
11 69 9
4 72 6
76 53 6
1 77 3
45 16 6
38 98 3
18 41 6
52 86 8
76 42 5
56 23 9
90 37 5
19 97 9
8 60 1
9 30 3
40 18 7
53 20 3
52 60 9
99 40 1
21 98 3
4 72 1
19 67 4
89 54 9
96 33 7
48 5 6
98 1 2
97 89 3
30 67 4
42 68 5
35 75 7
29 72 5
23 60 9
27 22 2
20 74 7
66 97 1
5 26 5
98 38 1
33 62 8
48 61 9
55 7 3
5 90 7
26 11 5
16 25 5
19 74 7
98 12 3
19 2 9
96 26 7
26 64 7
87 2 4
56 3 8
67 19 9
49 47 9
2 70 10
62 57 9
13 59 3
75 33 9
82 43 6
95 79 4
21 6 4
76 53 9
68 2 2
28 11 2
88 17 2
17 57 10
51 16 7
32 34 1
85 2 6
42 26 7
36 93 10
10 7 8
45 95 5
8 21 3
67 23 1
57 89 10
1 77 1
77 10 1
27 63 10
82 100 9
68 9 5
59 2 3
94 79 8
13 89 6
63 8 6
87 17 6
39 62 1
64 49 1
45 98 1
33 95 8
64 30 6
93 51 6
63 46 1
76 98 6
67 83 6
99 57 10
56 98 1
11 83 8
33 19 8
96 10 7
28 29 5
26 41 4
5 13 5
58 53 5
56 70 5
37 16 1
7 13 3
83 52 3
14 76 6
40 62 6
1 3 5
66 64 5
6 8 2
11 7 3
15 41 3
54 20 7
50 15 5
50 18 1
80 79 8
23 47 8
93 90 1
89 78 7
9 50 3
49 84 1
7 85 4
52 19 8
7 43 7
70 58 10
11 18 4
51 55 4
3 44 3
27 39 10
90 85 10
60 13 1
41 84 1
94 71 7
9 81 4
34 32 4
19 45 3
100 13 5
75 42 5
28 32 9
2 58 1
34 47 1
54 11 1
1 79 8
12 81 5
39 94 8
30 3 6
90 79 10
40 35 10
39 83 7
69 56 10
43 100 1
84 89 5
51 6 7
73 65 9
58 41 7
41 18 10
93 15 8
65 35 5
90 11 5
9 99 6
2 84 8
47 21 8
2 26 2
85 98 10
28 66 10
48 16 1
71 37 2
22 30 9
43 35 6
22 95 4
12 39 7
17 16 4
53 44 8
9 27 9
55 83 6
58 94 4
67 100 5
98 46 3
26 43 1
47 67 2
84 100 9
54 33 10
88 6 5
81 54 8
4 33 7
4 22 7
1 40 10
20 28 6
17 99 6
77 7 9
39 71 9
50 81 1
100 62 9
16 40 6
21 10 9
54 90 9
94 65 1
72 74 9
52 17 4
96 63 4
19 67 6
38 14 1
88 24 8
11 73 3
98 61 10
84 34 4
34 50 9
15 99 8
99 96 10
40 25 7
58 59 9
61 57 3
49 24 6
56 76 8
36 32 6
29 33 6
38 10 8
6 77 3
75 33 7
4 33 6
94 30 7
65 57 9
31 23 7
87 29 6
46 64 6
59 71 3
88 100 7
26 11 7
17 34 6
28 11 9
18 55 9
16 9 8
55 44 8
3 69 7
43 95 1
16 20 4
96 75 5
88 55 4
53 81 10
73 78 7
55 93 3
33 23 4
54 16 9
24 59 5
67 61 3
48 64 7
95 29 10
96 40 6
70 40 10
74 66 6
41 32 9
87 81 6
36 38 8
48 75 3
50 94 9
49 43 4
87 54 7
44 42 4
79 13 7
79 66 9
64 79 8
90 48 10
22 13 3
62 71 3
10 79 2
88 8 7
63 56 2
61 45 9
48 60 9
35 39 8
89 59 10
22 92 8
81 7 1
10 98 2
26 45 8
15 71 1
88 54 6
99 61 10
71 61 10
67 75 3
45 22 3
21 19 10
11 14 5
38 88 10
100 71 9
2 88 5
61 6 3
20 83 6
62 55 4
17 82 8
34 25 3
66 64 3
43 1 8
91 57 9
64 33 4
11 15 5
20 34 6
70 61 9
74 1 5
49 30 5
14 45 2
36 37 1
41 30 6
6 68 5
59 77 3
32 71 9
12 29 2
20 82 9
38 69 1
70 74 2
67 90 10
40 47 1
70 5 6
26 58 8
12 13 8
54 8 8
