100 385
67 52 1
90 17 8
64 95 1
45 96 4
70 19 7
6 26 3
86 72 2
86 38 9
96 47 2
89 48 4
26 58 3
55 54 10
35 23 3
54 91 10
19 99 8
81 63 3
72 11 7
53 48 5
6 8 8
3 94 6
87 26 9
21 91 2
61 97 9
90 31 4
65 70 2
72 60 2
51 56 6
44 52 2
63 78 6
52 15 8
61 51 5
75 42 7
71 68 2
97 93 2
75 23 3
94 66 6
52 11 10
21 90 5
96 73 9
66 6 10
10 81 5
51 83 1
6 25 10
59 49 6
52 22 6
90 54 1
57 61 5
4 3 10
90 4 9
34 32 10
75 58 1
73 65 2
34 55 2
84 58 10
77 31 10
6 44 1
40 69 10
46 8 3
81 62 6
65 24 7
89 24 5
83 43 3
39 22 7
59 39 2
41 45 7
16 82 2
100 46 3
92 49 4
52 60 5
89 42 3
38 56 1
11 70 1
19 48 5
11 51 6
15 16 4
84 15 3
71 21 10
76 31 5
58 51 8
95 30 1
70 68 10
10 95 5
32 95 8
52 79 5
67 100 7
92 91 1
100 69 5
97 1 7
74 25 9
36 90 1
14 48 1
7 30 9
100 12 1
8 40 9
15 30 9
84 49 4
5 86 1
84 31 1
85 82 8
27 79 1
82 39 4
4 9 6
35 74 6
46 71 3
17 42 8
78 15 3
13 79 8
37 17 4
3 93 7
17 96 2
56 44 8
1 46 9
2 78 4
98 23 7
50 54 3
81 60 6
19 35 1
95 22 9
86 85 9
59 25 1
64 54 9
20 4 9
47 69 8
67 42 5
87 59 8
37 44 7
90 13 1
79 18 8
12 29 6
26 38 3
99 85 2
80 47 5
39 93 2
54 47 7
49 12 5
83 72 5
19 32 9
46 51 6
28 95 5
41 86 1
71 47 2
52 62 8
91 16 6
88 95 10
88 46 5
16 99 2
29 6 8
81 3 6
13 28 5
6 35 7
17 53 3
56 32 6
99 53 8
77 93 3
18 74 5
46 67 9
7 29 2
61 57 8
24 51 7
66 72 10
80 73 3
91 24 5
12 40 6
31 22 8
81 37 8
36 61 7
14 94 10
56 2 5
74 100 10
33 38 8
97 91 5
91 88 3
34 15 2
38 20 3
11 91 7
98 59 8
100 48 10
69 73 2
15 56 5
95 58 10
13 20 5
41 1 9
64 33 6
48 45 8
79 77 1
80 42 5
70 50 2
82 23 3
18 58 10
97 41 8
29 5 6
90 96 6
56 29 4
46 93 1
74 77 2
38 26 5
69 50 4
12 85 3
7 50 1
25 48 2
92 47 8
60 58 4
54 92 4
54 58 2
64 83 2
59 20 10
74 19 2
64 56 3
98 70 8
55 24 3
29 55 2
15 33 3
45 54 9
8 84 3
88 37 3
1 33 9
18 35 3
95 70 10
54 26 8
36 19 4
62 74 9
42 55 4
67 17 4
34 36 1
30 41 6
69 7 6
9 76 10
50 55 4
41 88 3
72 98 4
55 38 9
93 16 5
26 21 6
48 9 7
44 79 3
87 95 3
20 33 1
93 31 8
42 80 1
33 85 5
41 46 1
15 66 8
35 15 10
91 22 10
29 92 4
54 38 9
52 71 4
95 81 6
45 100 7
6 94 4
85 56 4
57 34 4
69 67 10
98 81 2
36 41 8
76 39 2
79 88 5
8 56 6
87 26 1
2 72 10
79 7 7
52 37 10
46 26 4
87 83 1
68 98 10
93 49 10
24 6 4
43 8 6
16 52 3
65 84 4
88 2 8
57 95 9
22 60 5
91 74 2
20 100 4
40 8 5
34 58 9
61 85 3
82 6 1
81 77 9
53 47 5
99 55 1
32 57 2
11 89 3
63 50 7
78 34 10
74 52 1
54 33 5
100 20 2
84 50 3
30 24 9
82 39 2
19 43 8
53 39 5
75 60 7
82 17 1
2 71 4
73 64 2
38 78 8
61 23 9
60 75 4
14 5 9
47 74 9
34 75 6
54 70 3
39 74 10
26 95 6
3 47 10
81 84 7
39 36 10
13 59 5
72 55 3
56 38 3
81 46 7
39 32 3
69 31 9
21 62 5
85 1 7
30 36 9
67 38 1
90 6 4
76 25 6
64 43 2
25 41 8
35 47 4
92 79 5
20 65 8
77 29 8
80 91 5
86 39 7
39 9 5
57 9 7
14 30 1
23 90 10
22 55 9
71 43 7
99 79 9
68 86 7
83 30 1
96 59 5
56 14 9
87 77 8
23 41 10
40 36 6
78 82 3
40 21 8
79 9 5
8 80 9
55 81 6
35 62 10
13 93 10
22 84 4
23 44 10
63 60 4
77 5 10
78 51 10
97 34 8
57 28 10
46 77 5
100 52 5
53 4 4
78 2 1
15 79 10
8 19 3
91 35 3
50 25 3
85 12 7
27 62 6
35 23 4
47 45 10
57 74 9
92 28 6
35 65 6
97 22 2
30 23 5
51 11 9
18 20 8
22 27 3
70 24 1
98 36 8
77 21 3
34 33 2
26 13 9
81 93 3
56 55 4
