100 373
11 48 6
23 2 3
52 31 7
94 18 3
7 69 7
13 39 6
24 92 4
39 12 4
36 41 7
92 69 6
85 99 10
52 42 2
29 55 4
52 87 1
3 29 7
24 31 2
69 71 6
75 55 5
73 88 9
77 61 2
77 50 2
59 39 3
27 69 3
87 11 2
69 56 8
52 7 4
28 85 8
10 66 2
69 57 9
18 57 10
2 75 1
85 68 8
67 13 8
57 72 6
47 94 9
93 91 10
18 76 1
42 84 10
52 57 9
39 67 1
70 18 10
36 21 1
100 46 8
22 61 4
6 83 1
36 33 2
49 6 6
95 12 7
55 68 10
41 46 3
88 78 5
34 50 8
48 29 1
99 97 10
37 19 2
65 100 1
98 35 10
39 6 4
57 64 1
41 34 6
48 8 8
69 18 7
58 89 8
59 65 4
25 76 1
33 35 10
61 35 9
89 61 3
91 48 10
80 1 3
48 88 5
68 7 6
59 53 7
11 31 5
49 48 2
42 94 4
9 45 9
49 81 8
24 33 1
57 79 8
12 72 10
46 14 8
28 39 3
99 89 5
73 7 9
48 46 7
68 18 2
55 33 2
24 63 1
76 4 9
87 97 8
18 60 1
9 53 8
63 62 10
95 57 9
44 57 10
52 89 3
40 56 6
34 72 8
49 43 3
98 42 7
39 13 10
99 66 7
85 2 2
71 89 9
1 69 2
45 87 6
55 14 1
72 33 1
94 35 2
39 90 6
62 30 10
95 76 8
2 74 7
26 50 1
83 4 1
51 23 1
3 51 10
100 73 1
91 44 7
5 63 3
4 17 5
45 79 6
35 66 6
8 93 1
66 76 8
34 46 4
14 1 9
80 77 10
5 86 9
32 94 6
47 20 2
13 48 6
84 83 1
96 6 1
31 46 2
97 88 1
92 70 2
84 90 9
14 12 4
58 55 8
71 50 3
8 96 6
69 96 4
74 55 7
92 55 9
78 10 8
68 58 9
17 15 3
83 68 2
94 64 6
19 43 4
23 79 2
63 38 6
23 29 1
20 56 9
69 91 10
66 1 4
70 96 6
34 52 10
90 77 2
82 80 3
48 75 9
54 13 4
59 10 7
90 70 8
64 95 4
92 1 5
72 34 7
38 57 7
72 77 5
42 85 1
3 23 8
38 88 3
40 2 10
22 43 9
86 75 6
36 83 7
33 71 9
67 21 2
70 50 2
54 62 4
55 88 2
50 3 4
73 97 3
64 60 5
12 9 8
4 76 3
9 5 5
9 16 5
86 80 4
90 46 5
80 37 2
32 13 6
49 56 1
66 52 8
40 99 4
27 85 5
52 61 5
54 19 1
89 9 1
11 60 1
87 88 10
55 35 3
10 48 2
55 57 9
71 27 9
61 41 8
60 12 5
80 7 2
43 81 2
63 28 3
49 76 1
97 93 9
43 31 10
56 39 2
41 15 10
62 81 8
72 34 10
66 67 5
22 87 10
78 62 3
49 44 8
22 38 1
72 7 7
68 99 3
6 79 2
68 57 6
78 8 4
47 70 8
13 57 2
94 86 4
25 43 7
87 15 6
58 76 1
7 99 4
10 84 3
62 42 2
52 45 10
76 65 1
87 11 8
10 35 3
22 57 9
6 79 6
49 70 6
26 43 6
12 13 4
57 87 10
29 87 1
9 42 7
70 91 1
50 47 8
31 96 7
90 83 7
70 41 9
44 78 1
24 87 2
85 75 4
34 32 7
74 71 2
27 94 6
19 45 6
75 95 2
98 4 6
59 87 7
70 71 9
76 80 7
66 6 2
5 3 6
62 42 1
64 36 9
51 24 10
3 89 8
96 18 6
32 27 10
78 35 6
47 39 6
91 93 1
40 94 4
33 70 10
86 39 4
84 65 1
76 3 2
71 52 4
17 35 7
8 98 7
37 91 1
51 27 1
50 31 4
66 93 6
41 3 2
45 72 6
43 34 8
36 58 9
60 94 8
57 90 5
74 55 6
83 43 8
46 78 8
51 16 5
32 99 7
51 8 10
55 85 9
9 86 3
33 92 1
88 46 8
59 78 1
23 37 4
71 9 5
24 55 8
31 76 5
54 16 9
17 46 3
43 18 9
46 78 3
41 96 7
7 10 10
48 88 10
13 36 7
55 36 4
77 59 9
17 64 10
39 62 8
9 68 3
96 78 10
62 33 8
61 99 3
70 24 7
99 68 9
25 83 9
43 29 9
46 82 4
33 27 1
44 68 7
49 100 3
47 73 2
16 88 3
42 2 6
29 36 10
19 54 7
85 73 4
3 12 10
39 74 4
76 48 7
90 17 9
84 18 8
15 63 6
26 6 7
55 100 6
86 80 7
51 76 9
4 5 9
60 55 2
68 88 7
53 3 8
42 55 3
76 14 9
42 67 4
62 51 6
40 9 6
79 5 7
11 72 5
72 85 2
7 16 1
70 85 3
73 24 7
40 85 10
30 57 3
99 22 9
30 15 6
7 50 8
12 66 5
59 35 6
